trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9524474920745943}",20,0,-135.6397389550655,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.9509767959531901}",20,0,-124.91236843136838,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9509767959531901}",20,0,-52.80083272931212,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.9509767959531901}",25,0,-145.99224541092715,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.9509767959531901}",25,0,-168.29837670994266,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.9509767959531901}",35,0,-92.16422174323634,"{0: 22, 1: 6, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.9509767959531901}",30,0,-242.63715052720977,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
8,False,"{'a': 0.3, 'e': 0.9509767959531901}",25,0,-112.91178110296057,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.9509767959531901}",20,0,-130.53174339238274,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9509767959531901}",25,0,-154.36102867289426,"{0: 11, 1: 8, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.9509767959531901}",25,0,-47.86439128447135,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.9494606143847321}",25,0,-73.6643178987272,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.9494606143847321}",20,0,-188.57533494706018,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.9494606143847321}",30,0,-129.06468762530355,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.9494606143847321}",25,0,-94.8748553881503,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
