trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",30,0,-162.8992792284189,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.92}",25,0,-141.27830609524926,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.8464}",25,11,-71.38050797793338,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.778688}",30,0,-213.5653004683358,"{0: 20, 1: 1, 2: 2, 3: 3, 4: 4}",0
5,False,"{'a': 0.3, 'e': 0.7163929600000001}",20,0,-54.513317433261484,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.6590815232000001}",25,13,-26.264899872432608,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.6063550013440001}",30,0,-120.00306788381388,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.5578466012364802}",20,13,-8.915483299396612,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.5132188731375618}",20,12,5.063054562821768,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.3, 'e': 0.47216136328655683}",25,2,-51.14134088254883,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.3, 'e': 0.4343884542236323}",20,11,-107.34933280767846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 3}",1
12,False,"{'a': 0.3, 'e': 0.3996373778857418}",25,16,15.039692788631584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.3676663876548824}",20,0,-61.37090595448386,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.3382530766424919}",30,10,-46.262277768420816,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.3, 'e': 0.31119283051109253}",20,6,11.23418780224061,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.28629740407020515}",20,3,-24.54541197092655,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.26339361174458875}",20,0,8.081788637208339,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.24232212280502163}",30,21,9.600406105165563,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.22293635298061992}",20,0,-9.623849057515514,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.20510144474217035}",25,0,-30.07287624632612,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.1886933291627967}",20,10,-4.777127034285558,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.3, 'e': 0.173597862829773}",25,0,-13.365840820325175,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.15971003380339116}",30,0,-100.4408515499329,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.14693323109911988}",30,14,15.797192239838989,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.1351785726111903}",25,7,-8.921227992687031,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.3, 'e': 0.12436428680229507}",30,9,27.326697525064205,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.11441514385811147}",20,0,4.072401666083248,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.10526193234946256}",30,18,1.0243016244442003,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.09684097776150556}",25,14,17.616426699223855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.3, 'e': 0.08909369954058512}",20,5,25.048871647412085,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.0819662035773383}",25,0,38.99849362009948,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.3, 'e': 0.07540890729115125}",20,2,20.21134577256431,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.06937619470785915}",20,8,21.025085519872263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.06382609913123043}",25,0,42.64373285202074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.05872001120073199}",20,2,30.10749330527298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.05402241030467343}",20,9,21.449937627310806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.04970061748029956}",20,0,20.042838915928506,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.0457245680818756}",20,7,9.018115171119627,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.04206660263532555}",30,10,30.4561399846401,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.03870127442449951}",20,11,-5.911863569714226,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.03560517247053955}",20,0,25.739406443220652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.03275675867289639}",25,20,10.158708998151392,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.030136217979064676}",25,5,32.881328986562934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.027725320540739506}",30,7,16.4728280935616,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.025507294897480347}",25,10,23.179754333672175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.02346671130568192}",20,0,34.68968062412755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.021589374401227365}",20,11,17.00410950342966,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.01986222444912918}",20,15,8.847700121127593,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,24.96551250464549,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,9.49363373821227,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,14,11.693262345840783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,29.073075120576533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,16.224068945571275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,18,35.158990593325306,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,21,27.035102294711592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,25.174774879125277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,19.662099822065006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,31.462976501898865,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,13,15.781119711616512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,8,28.156325029607157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,18,12.98750311134484,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,12,14.354537203595271,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,0,28.915920999027612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,2,32.21971418651196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
