trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-136.46446126667954,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-123.4484390246322,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-191.63904546645378,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-94.02531160281993,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-31.418898205227176,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-137.6040696027258,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-167.57799314964242,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-83.86582898959536,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-109.30479627355716,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-148.14856102844138,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-142.19844719934497,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-132.14928459130604,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-124.36547210811557,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-195.30265896966924,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-24.251189116571968,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-130.4817601660693,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-115.16730307910116,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-122.11458542753341,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-63.11419786490896,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-35.20625416548522,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-196.2738767159708,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",25,0,-183.41336518795254,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-58.57514388008232,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-136.94873176886873,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-148.45678399570915,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-179.81264804479719,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-99.422372490861,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-124.26442372664776,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-59.55307068537314,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-149.4974038362361,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
