trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,14,-47.81799724972166,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.00049647817212,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,2,-76.65121569320655,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-77.2721951496503,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.39983417452771,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.24995103442302,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.39368308593166,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.6984038359893,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.99390018370406,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.384531706982166,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.2894810050659,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.35769984113848,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,14,-19.290734927554645,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,3,-46.388306531607974,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.88541640585066,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.54147550134711,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.52998542229099,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.3288189570954,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.84061710499959,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.93777055514136,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.61809244847717,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-183.76999880170786,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-74.26722782042718,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.12848783231061,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-211.3001388502688,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-313.74873513734315,"{0: 10, 1: 5, 2: 10, 3: 0, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.57659499628683,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.40355058162702,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,9,-83.73790548872374,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.93015426501137,"{0: 14, 1: 6, 2: 6, 3: 1, 4: 3}",0
